Name;Category;Sub-Category;Identifier;Description;Scale;Unit;Metrics;Single;
database: content: check constraints;outcome;TIP;database/content/constraints/checkConstraints;Database check constraints;NOT MEASURABLE;;retained;;
database: content: columns datatypes;outcome;TIP;database/content/columnsDatatypes;Datatypes of database columns;NOT MEASURABLE;;databaseColumnsDatatypesPreserved;;
database: content: foreign keys;outcome;TIP;database/content/constraints/foreignKeys;Database foreign keys;NOT MEASURABLE;;retained;;
database: content: primary keys;outcome;TIP;database/content/constraints/primaryKeys;Database primary keys;NOT MEASURABLE;;retained;;
database: content: privileges;outcome;TIP;database/content/privileges;Database privileges;NOT MEASURABLE;;databasePrivilegesPreserved;;
database: content: roles;outcome;TIP;database/content/roles;Database roles;NOT MEASURABLE;;databaseRolesPreserved;;
database: content: routines;outcome;TIP;database/content/routines;Database routines;NOT MEASURABLE;;databaseRoutinesPreserved;;
database: content: schemas;outcome;TIP;database/content/schemas;Database schemas;NOT MEASURABLE;;databaseSchemasPreserved;;
database: content: sequences;outcome;TIP;database/content/sequences;Database sequences;NOT MEASURABLE;;retained;;
database: content: strings;outcome;TIP;database/content/strings;Database strings;NOT MEASURABLE;;databaseStringsPreserved;;
database: content: system tables;outcome;TIP;database/content/systemTables;Database system tables;NOT MEASURABLE;;retained;;
database: content: table column counts;outcome;TIP;database/content/columns/tableColumnCounts;Column counts of all database tables;NOT MEASURABLE;;equal;;
database: content: table row counts;outcome;TIP;database/content/tableRowCounts;Row counts of all database tables;NOT MEASURABLE;;equal;;
database: content: triggers;outcome;TIP;database/content/triggers;Database triggers;NOT MEASURABLE;;databaseTriggersPreserved;;
database: content: user defined datatypes (UDT);outcome;TIP;database/content/udt;Database user defined datatypes (UDT);NOT MEASURABLE;;databaseUDTPreserved;;
database: content: users;outcome;TIP;database/content/users;Database users;NOT MEASURABLE;;databaseUsersPreserved;;
database: content: views;outcome;TIP;database/content/views;Database views;NOT MEASURABLE;;databaseViewsPreserved;;
database: context: columns;outcome;TIP;database/context/columns;Database columns;NOT MEASURABLE;;retained;;
database: context: constraints;outcome;TIP;database/context/constraints;Database constraints;NOT MEASURABLE;;retained;;
database: context: data origin timespan;outcome;TIP;database/context/dataOriginTimespan;Timespan from now to data creation time;NOT MEASURABLE;;retained;;
database: context: data owner;outcome;TIP;database/context/dataOwner;Owner of the data;Free Text;;retained;;
database: context: database name;outcome;TIP;database/context/databaseName;Database name;Free Text;;retained;;
database: context: database purpose;outcome;TIP;database/context/databasePurpose;Database purpose;Free Text;;retained;;
database: context: FKs;outcome;TIP;database/context/FKs;Database FKs;NOT MEASURABLE;;retained;;
database: context: indexes;outcome;TIP;database/context/indexes;Database indexes;NOT MEASURABLE;;retained;;
database: context: PKs;outcome;TIP;database/context/PKs;Database PKs;NOT MEASURABLE;;retained;;
database: context: privileges;outcome;TIP;database/context/privileges;Database privileges;NOT MEASURABLE;;retained;;
database: context: roles;outcome;TIP;database/context/roles;Database roles;NOT MEASURABLE;;retained;;
database: context: routines;outcome;TIP;database/context/routines;Database routines;NOT MEASURABLE;;retained;;
database: context: schemas;outcome;TIP;database/context/schemas;Database schemas;NOT MEASURABLE;;retained;;
database: context: sequences;outcome;TIP;database/context/sequences;Database sequences;NOT MEASURABLE;;retained;;
database: context: tables;outcome;TIP;database/context/tables;Database tables;NOT MEASURABLE;;retained;;
database: context: traceability: change history and changelog;outcome;TIP;database/context/traceability/changeHistoryAndChangelog;Change history and changelog data;NOT MEASURABLE;;retained;;
database: context: traceability: explicit audit trail;outcome;TIP;database/context/traceability/explicitAuditTrail;Explicit audit trail as stored in tables;NOT MEASURABLE;;retained;;
database: context: traceability: implicit audit trail;outcome;TIP;database/context/traceability/implicitAuditTrail;Implicit audit trail as kept in db system;NOT MEASURABLE;;retained;;
database: context: triggers;outcome;TIP;database/context/triggers;Database triggers;NOT MEASURABLE;;retained;;
database: context: users;outcome;TIP;database/context/users;Database users;NOT MEASURABLE;;retained;;
database: context: views;outcome;TIP;database/context/views;Database views;NOT MEASURABLE;;retained;;
database: look and feel;outcome;TIP;database/lookAndFeel;Look and feel of the database.;NOT MEASURABLE;;retained;;
database: representation: character encoding;outcome;TIP;database/representation/characterEncoding;Character encoding used in given database representation.;Free Text;;databaseCharacterEncodingTrend;;
database: representation: numbers precision;outcome;TIP;database/representation/numbersPrecision;Precision of number representation.;NOT MEASURABLE;;databaseNumbersPrecisionComparison;;
database: representation: strings encodings;outcome;TIP;database/representation/stringsEncodings;Database strings encodings;NOT MEASURABLE;;databaseStringsEncodingsPreserved;;
database: representation: time encoding;outcome;TIP;database/representation/timeEncoding;Time encoding used in given database representation.;Free Text;;databaseTimeEncodingTrend;;
document content: attached files;outcome;TIP;document/content/attachedFiles;Attached files used in the document.;NOT MEASURABLE;;equalJudged;;
document content: bullet lists;outcome;TIP;document/content/lists/bulletLists;Bullet lists used in the document.;NOT MEASURABLE;;equalJudged;;
document content: character set;outcome;TIP;document/content/characterSet;Character set used in the document.;Free Text;;equal;;
document content: diacritics;outcome;TIP;document/content/specialCharacters/diacritics;Diacritics used in the document.;NOT MEASURABLE;;equalJudged;;
document content: equation captions;outcome;TIP;document/content/equations/captions;Equation captions used in the document.;NOT MEASURABLE;;equalJudged;;
document content: equation positions;outcome;TIP;document/content/equations/positions;Equation positions used in the document.;NOT MEASURABLE;;equalJudged;;
document content: equation sizes;outcome;TIP;document/content/equations/sizes;Equation sizes used in the document.;NOT MEASURABLE;;equalJudged;;
document content: equation structures;outcome;TIP;document/content/equations/strucutures;Equation structures used in the document.;NOT MEASURABLE;;equalJudged;;
document content: equation total;outcome;TIP;document/content/equations/total;Equations used in this document.;NOT MEASURABLE;;equalJudged;;
document content: figure captions;outcome;TIP;document/content/figures/captions;Figure captions used in the document.;NOT MEASURABLE;;equalJudged;;
document content: figure color depths;outcome;TIP;document/content/figures/colorDepths;Figure color depths used in the document.;NOT MEASURABLE;;equalJudged;;
document content: figure positions;outcome;TIP;document/content/figures/positions;Figure positions used in the document.;NOT MEASURABLE;;equalJudged;;
document content: figure resolutions;outcome;TIP;document/content/figures/resolutions;Figure resolutions used in the document.;NOT MEASURABLE;;equalJudged;;
document content: figure sizes;outcome;TIP;document/content/figures/sizes;Figure sizes used in the document.;NOT MEASURABLE;;equalJudged;;
document content: figures total;outcome;TIP;document/content/figures/total;Figures used in the document.;NOT MEASURABLE;;equalJudged;;
document content: font colors;outcome;TIP;document/content/font/colors;Font colors used in the document.;NOT MEASURABLE;;equalJudged;;
document content: font encoding;outcome;TIP;document/content/font/encodings;Font encoding used in the document.;Free Text;;equalJudged;;
document content: font sizes;outcome;TIP;document/content/font/sizes;Font sizes used in the document.;NOT MEASURABLE;;equalJudged;;
document content: font styles;outcome;TIP;document/content/font/styles;Font styles used in the document.;NOT MEASURABLE;;equalJudged;;
document content: font text marks;outcome;TIP;document/content/font/textMarks;Indicates if font text marks exists in the document.;Boolean;;equal;;
document content: foonotes;outcome;TIP;document/content/foonotes;Foonotes used in the document.;NOT MEASURABLE;;equalJudged;;
document content: formulas;outcome;TIP;document/content/formulas;Formulas in the document;NOT MEASURABLE;;equalJudged;;
document content: multimedia;outcome;TIP;document/content/multimedia;Multimedia elements used in the document.;NOT MEASURABLE;;equalJudged;;
document content: number of characters;outcome;TIP;document/content/numberOfCharacter;Number of characters the document consists of.;Positive Number;;equal;;
document content: numbered lists;outcome;TIP;document/content/lists/numberedLists;Numbered lists used in the document.;NOT MEASURABLE;;equalJudged;;
document content: symbols;outcome;TIP;document/content/specialCharacters/symbols;Symbols used in the document.;NOT MEASURABLE;;equalJudged;;
document content: tables;outcome;TIP;document/content/tables;Tables used in the document.;NOT MEASURABLE;;equalJudged;;
document content: text;outcome;TIP;document/content/text;Text content of the document.;NOT MEASURABLE;;equalJudged;;
document content: umlauts;outcome;TIP;document/content/specialCharacters/umlauts;Umlauts used in the document.;NOT MEASURABLE;;equalJudged;;
document layout: background;outcome;TIP;document/layout/background;Background of the document.;NOT MEASURABLE;;equalJudged;;
document layout: logo;outcome;TIP;document/layout/logo;Logo used in the document.;NOT MEASURABLE;;equalJudged;;
document layout: page orientation;outcome;TIP;document/layout/pageOrientation;Page orientation used in the document.;NOT MEASURABLE;;equalJudged;;
document layout: page size;outcome;TIP;document/layout/pageSize;Page size used in the document.;NOT MEASURABLE;;equalJudged;;
document layout: watermark;outcome;TIP;document/layout/watermark;Watermark used in the document.;NOT MEASURABLE;;equalJudged;;
document metadata: author;outcome;TIP;document/metadata/author;Author placed in the documents metadata.;Free Text;;equal;;
document metadata: author in record;outcome;TIP;document/metadata/authorInRecord;Author placed in the records metadata.;Free Text;;equal;;
document metadata: content description;outcome;TIP;document/metadata/contentDescription;Content description placed in the documents metadata.;Free Text;;equal;;
document metadata: date;outcome;TIP;document/metadata/date;Date placed in the documents metadata.;NOT MEASURABLE;;equal;;
document metadata: date in record;outcome;TIP;document/metadata/dateInRecord;Date placed in the records metadata.;NOT MEASURABLE;;equal;;
document metadata: entire data;outcome;TIP;document/metadata/entireData;Entire metadata of the document.;NOT MEASURABLE;;retained;;
document metadata: language;outcome;TIP;document/metadata/language;Document language placed in the documents metadata;Free Text;;equal;;
document metadata: subject;outcome;TIP;document/metadata/subject;Subject placed in the documents metadata.;Free Text;;equal;;
document metadata: title;outcome;TIP;document/metadata/title;Title placed in the documents metadata.;Free Text;;equal;;
document metadata: title in record;outcome;TIP;document/metadata/titleInRecord;Title placed in the records metadata.;Free Text;;equal;;
document structure: bibliography;outcome;TIP;document/structure/bibliography;Bibliography used in the document.;NOT MEASURABLE;;equalJudged;;
document structure: footers;outcome;TIP;document/structure/footers;Footers used in the document.;NOT MEASURABLE;;equalJudged;;
document structure: headers;outcome;TIP;document/structure/headers;Headers used in the document.;NOT MEASURABLE;;equalJudged;;
document structure: intendations;outcome;TIP;document/structure/intendations;Intendations used in the document.;NOT MEASURABLE;;equalJudged;;
document structure: line spacings;outcome;TIP;document/structure/lineSpacings;Line spacings used in the document.;NOT MEASURABLE;;equalJudged;;
document structure: number of pages;outcome;TIP;document/structure/numberOfPages;The documents number of pages.;Positive Number;;equal;;
document structure: page numberings;outcome;TIP;document/structure/pageNumbering;Page numberings used in the document.;NOT MEASURABLE;;equalJudged;;
document structure: paragraphs;outcome;TIP;document/structure/paragraphs;Paragraphs used in the document.;NOT MEASURABLE;;equalJudged;;
document structure: table of contents;outcome;TIP;document/structure/tableOfContents;Table of contents used in the document.;NOT MEASURABLE;;equalJudged;;
document structure: text paging;outcome;TIP;document/structure/textPaging;Text paging (how text is distributed on pages) of the document;NOT MEASURABLE;;equalJudged;;
document structure: titles and headlines;outcome;TIP;document/structure/titleAndHeadlines;Titles and headlines used in the document.;NOT MEASURABLE;;equalJudged;;
image metadata: capture device;outcome;TIP;image/metadata/captureDevice;Device used to create the image data;Free Text;;retained;;
image metadata: creation dateTime;outcome;TIP;image/metadata/creationDateTime;Date or DateTime the image was created;Free Text;;retained;;
image metadata: dc: all data;outcome;TIP;image/metadata/dc/data;All DC data;NOT MEASURABLE;;retained;;
image metadata: exif: all gps data;outcome;TIP;image/metadata/exif/gps/data;All EXIF GPS data;NOT MEASURABLE;;retained;;
image metadata: exif: all tiff data;outcome;TIP;image/metadata/exif/tiff/data;All EXIF TIFF data;NOT MEASURABLE;;retained;;
image metadata: exif: aperture value;outcome;TIP;image/metadata/exif/pictureTakingConditions/apertureValue;Lens aperture;Positive Number;;retained;;
image metadata: exif: artist;outcome;TIP;image/metadata/exif/ifd0/artist;Person who created the image.;Free Text;;retained;;
image metadata: exif: bits per sample;outcome;TIP;image/metadata/exif/ifd0/bitsPerSample;Number of bits per component.;Positive Integer;;retained;;
image metadata: exif: brightness value;outcome;TIP;image/metadata/exif/pictureTakingConditions/brightnessValue;;Number;;retained;;
image metadata: exif: cfa pattern;outcome;TIP;image/metadata/exif/pictureTakingConditions/cfaPattern;Color Filter Array (CFA) geometric pattern of the image sensor when one-chip color area sinsor is used.;Free Text;;retained;;
image metadata: exif: compression;outcome;TIP;image/metadata/exif/ifd0/compression;Compression scheme;Positive Integer;;retained;;
image metadata: exif: contrast;outcome;TIP;image/metadata/exif/pictureTakingConditions/contrast;Contrast;Positive Integer;;retained;;
image metadata: exif: exposure bias value;outcome;TIP;image/metadata/exif/pictureTakingConditions/exposureBiasValue;Brightness values measured when the image was captured, using APEX (Additive Szstem of Photographic Exposure) values.;Number;;retained;;
image metadata: exif: exposure index;outcome;TIP;image/metadata/exif/pictureTakingConditions/exposureIndex;Exposure index setting the camera selected;Positive Number;;retained;;
image metadata: exif: exposure mode;outcome;TIP;image/metadata/exif/pictureTakingConditions/exposureMode;Exposure mode;Positive Integer;;retained;;
image metadata: exif: exposure program;outcome;TIP;image/metadata/exif/pictureTakingConditions/exposureProgram;Class of the program used by the camera to set exposure when the picture is taken.;Positive Integer;;retained;;
image metadata: exif: exposure time;outcome;TIP;image/metadata/exif/pictureTakingConditions/exposureTime;Exposure time used when the image was captured.;Number;;retained;;
image metadata: exif: f number;outcome;TIP;image/metadata/exif/pictureTakingConditions/fnumber;Lens f-number (ratio of lens aperture to focal length) used when the image was captured.;Positive Number;;retained;;
image metadata: exif: flash;outcome;TIP;image/metadata/exif/pictureTakingConditions/flash;Status of the flash when the image was shot.;Positive Integer;;retained;;
image metadata: exif: focal lenght in 35mm film;outcome;TIP;image/metadata/exif/pictureTakingConditions/focalLenghtIn35mmFilm;Focal length in 35mm film.;Positive Integer;;retained;;
image metadata: exif: focal length;outcome;TIP;image/metadata/exif/pictureTakingConditions/focalLength;The lens focal length in meters used to capture the image.;Positive Number;;retained;;
image metadata: exif: image description;outcome;TIP;image/metadata/exif/ifd0/imageDescription;Image title;Free Text;;retained;;
image metadata: exif: image height;outcome;TIP;image/metadata/exif/ifd0/imageHeight;Image resolution in height direction.;Positive Integer;;retained;;
image metadata: exif: image width;outcome;TIP;image/metadata/exif/ifd0/imageWidth;Image resolution in width direction.;Positive Integer;;retained;;
image metadata: exif: iso-speed value;outcome;TIP;image/metadata/exif/pictureTakingConditions/isoSpeed;ISO speed;Positive Integer;;retained;;
image metadata: exif: light source;outcome;TIP;image/metadata/exif/pictureTakingConditions/lightSource;Light source that was present when the image was captured.;Positive Integer;;retained;;
image metadata: exif: make;outcome;TIP;image/metadata/exif/ifd0/make;Manufactorer of image input equipment.;Free Text;;retained;;
image metadata: exif: metering mode;outcome;TIP;image/metadata/exif/pictureTakingConditions/meteringMode;Metering mode;Positive Integer;;retained;;
image metadata: exif: model;outcome;TIP;image/metadata/exif/ifd0/model;Model of image input equipment.;Free Text;;retained;;
image metadata: exif: oECF;outcome;TIP;image/metadata/exif/pictureTakingConditions/oECF;Opto-Electric Conversion Function (OECF) specified in ISO 14524;Free Text;;retained;;
image metadata: exif: photometric interpretation;outcome;TIP;image/metadata/exif/ifd0/photometricInterpretation;Pixel composition;Positive Integer;;retained;;
image metadata: exif: resolution unit;outcome;TIP;image/metadata/exif/ifd0/resolutionUnit;Unit of X and Y resolution;Free Text;;retained;;
image metadata: exif: samples per pixel;outcome;TIP;image/metadata/exif/ifd0/samplesPerPixel;Number of components;Positive Integer;;retained;;
image metadata: exif: saturation;outcome;TIP;image/metadata/exif/pictureTakingConditions/saturation;Saturation;Positive Integer;;retained;;
image metadata: exif: sensing method;outcome;TIP;image/metadata/exif/pictureTakingConditions/sensingMethod;Image Sensor type on the camera or input device.;Positive Integer;;retained;;
image metadata: exif: sharpness;outcome;TIP;image/metadata/exif/pictureTakingConditions/sharpness;Sharpness;Positive Integer;;retained;;
image metadata: exif: shutter speed value;outcome;TIP;image/metadata/exif/pictureTakingConditions/shutterSpeedValue;Shutter speed;Number;;retained;;
image metadata: exif: software;outcome;TIP;image/metadata/exif/ifd0/software;Software used;Free Text;;retained;;
image metadata: exif: spectral sensivity;outcome;TIP;image/metadata/exif/pictureTakingConditions/spectralSensitivity;Spectral sensitivity of each channel of the camera used.;Free Text;;retained;;
image metadata: exif: subject distance;outcome;TIP;image/metadata/exif/pictureTakingConditions/subjectDistance;Distance in meters, between the frontal plane of the camera lens and the subject on which the camera was focused.;Positive Number;;retained;;
image metadata: exif: version;outcome;TIP;image/metadata/exif/pictureTakingConditions/exifVersion;Version of the EXIF standard supported.;Free Text;;retained;;
image metadata: exif: white balance;outcome;TIP;image/metadata/exif/pictureTakingConditions/whiteBalance;White balance;Positive Integer;;retained;;
image metadata: image height;outcome;TIP;image/metadata/imageHeight;Image resolution in height direction.;Positive Integer;;retained;;
image metadata: image resolution;outcome;TIP;image/metadata/imageResolution;Image resoluion represented as string.;Free Text;;retained;;
image metadata: image width;outcome;TIP;image/metadata/imageWidth;Image resolution in width direction.;Positive Integer;;retained;;
image metadata: iptc: all data;outcome;TIP;image/metadata/iptc/data;All IPCT data;NOT MEASURABLE;;retained;;
image metadata: orientation;outcome;TIP;image/metadata/orientation;Image orientation as textual value.;Free Text;;retained;;
image metadata: private-tags: all data;outcome;TIP;image/metadata/privateTags/data;All private-tags data;NOT MEASURABLE;;retained;;
image metadata: producer;outcome;TIP;image/metadata/producer;Textual information about the producer of the object.;Free Text;;retained;;
image metadata: resolution unit;outcome;TIP;image/metadata/resolutionUnit;Defines the unit of measure used to determine image height and image width.;Free Text;;retained;;
image metadata: scene type;outcome;TIP;image/metadata/sceneType;Scene type;Free Text;;retained;;
image metadata: software;outcome;TIP;image/metadata/software;Software used;Free Text;;retained;;
image metadata: tiff properties;outcome;TIP;image/metadata/tiff/data;Tiff properties data;NOT MEASURABLE;;retained;;
image metadata: xmp: all data;outcome;TIP;image/metadata/xmp/data;All XMP data;NOT MEASURABLE;;retained;;
image: aspect ratio;outcome;TIP;image/aspectRatio;Aspect ratio of image, calculated as width/height. The number 1,35 can thus be read as 1,35:1;Positive Number;width/height ratio;equal;;
image: bits per sample;outcome;TIP;image/bitsPerSample;Bits per component for each pixel;Free Text;bpp;equal, greaterOrEqual;;
image: colour space;outcome;TIP;image/colourSpace;Colour model of the decompressed image data.;Free Text;;equal;;
image: height;outcome;TIP;image/height;Height of an image, measured in number of pixels on the y-axis.;Positive Integer;pixel;equal;;
image: ICC colour profile;outcome;TIP;image/iccProfile;ICC profile data;NOT MEASURABLE;;equal;;
image: ocr text;outcome;TIP;image/ocrText;Optical character recognition text extraxted from the image;NOT MEASURABLE;;equal;;
image: orientation;outcome;TIP;image/orientation;Orientation of the image, with respect to the placement of widht and height, as it was saved to disk.;Free Text;;equal;;
image: resolution;outcome;TIP;image/resolution;Width and height of an image in number of pixels represented as string (e.g. 1024x768).;Free Text;;equal;;
image: resolution unit;outcome;TIP;image/resolutionUnit;Defines the unit of measure used to determine image height and image width.;Free Text;;equal;;
image: sampling frequency unit;outcome;TIP;image/samplingFrequencyUnit;The unit of measurement for XSamplingFrequency and YSamplingFrequency.;NOT MEASURABLE;;equal;;
image: similarity;outcome;TIP;image/similarity;Quantitative indication of similarity between input and ouput. A variety of distance metrics for image comparison are available.;NOT MEASURABLE;;equal, ae, pae, psnr, mae, mse, rmse, mepp, ssimSimple, ssimSimpleHue, ssimSimpleSaturation, equalJudged;;
image: width;outcome;TIP;image/width;Width of an image, measured in number of pixels on the x-axis.;Positive Integer;pixel;equal;;
image: x sampling frequency;outcome;TIP;image/xSamplingFrequency;The number of pixels, per definition samplingFrequencyUnit in the image height.;NOT MEASURABLE;;equal;;
image: y sampling frequency;outcome;TIP;image/ySamplingFrequency;The number of pixels, per definition samplingFrequencyUnit in the image width.;NOT MEASURABLE;;equal;;
video game: audio: music quality;outcome;TIP;videoGame/audio/music/quality;Indicates music quality of the game.;NOT MEASURABLE;;videoGameAudioCompliance;;
video game: audio: sound quality;outcome;TIP;videoGame/audio/sound/quality;Indicates sound quality of the game.;NOT MEASURABLE;;videoGameAudioCompliance;;
video game: audio: speech quality;outcome;TIP;videoGame/audio/speech/quality;Indicates speech quality of the game.;NOT MEASURABLE;;videoGameAudioCompliance;;
video game: game speed;outcome;TIP;videoGame/gameSpeed;Speed performance of the game.;NOT MEASURABLE;;deviationInPercent;;
video game: graphics: colours;outcome;TIP;videoGame/graphics/colours;Graphics colour characteristics.;NOT MEASURABLE;;videoGameImageColourCompliance;;
video game: graphics: frame rate;outcome;TIP;videoGame/graphics/frameRate;Frame rate of the game.;Positive Number;FPS;deviationInPercent;;
video game: graphics: hardware supported special effects quality;outcome;TIP;videoGame/graphics/hardwareSupportedSpecialEffectsQuality;Indicates the quality of hardware supported special effects.;Ordinal: no objects displayed/not applicable/severe differences to original/small differences to original/no differences noticeable;;videoGameHWSupportedSpecialEffectsCompliance;;
video game: graphics: image quality;outcome;TIP;videoGame/graphics/imageQuality;Overall graphics image quality.;NOT MEASURABLE;;videoGameImageQualityCompliance;;
